,SPY
,close
time,
2018-12-06 00:00:00-05:00,269.95
2018-12-07 00:00:00-05:00,263.64
2018-12-10 00:00:00-05:00,264.07
2018-12-11 00:00:00-05:00,264.1
2018-12-12 00:00:00-05:00,265.53
2018-12-13 00:00:00-05:00,265.41
2018-12-14 00:00:00-05:00,260.5
2018-12-17 00:00:00-05:00,255.1
2018-12-18 00:00:00-05:00,255.12
2018-12-19 00:00:00-05:00,251.19
2018-12-20 00:00:00-05:00,247.25
2018-12-21 00:00:00-05:00,240.73
2018-12-24 00:00:00-05:00,234.41
2018-12-26 00:00:00-05:00,245.96
2018-12-27 00:00:00-05:00,248.01
2018-12-28 00:00:00-05:00,247.6899
2018-12-31 00:00:00-05:00,248.55
2019-01-02 00:00:00-05:00,249.89
2019-01-03 00:00:00-05:00,244.46
2019-01-04 00:00:00-05:00,252.41
2019-01-07 00:00:00-05:00,254.4
2019-01-08 00:00:00-05:00,256.65
2019-01-09 00:00:00-05:00,257.71
2019-01-10 00:00:00-05:00,258.94
2019-01-11 00:00:00-05:00,258.76
2019-01-14 00:00:00-05:00,257.69
2019-01-15 00:00:00-05:00,260.21
2019-01-16 00:00:00-05:00,260.94
2019-01-17 00:00:00-05:00,262.88
2019-01-18 00:00:00-05:00,266.16
2019-01-22 00:00:00-05:00,261.97
2019-01-23 00:00:00-05:00,263.1
2019-01-24 00:00:00-05:00,263.69
2019-01-25 00:00:00-05:00,265.7
2019-01-28 00:00:00-05:00,263.635
2019-01-29 00:00:00-05:00,263.31
2019-01-30 00:00:00-05:00,267.4625
2019-01-31 00:00:00-05:00,270.2325
2019-02-01 00:00:00-05:00,270.07
2019-02-04 00:00:00-05:00,271.78
2019-02-05 00:00:00-05:00,273.13
2019-02-06 00:00:00-05:00,272.7
2019-02-07 00:00:00-05:00,269.97
2019-02-08 00:00:00-05:00,270.08
2019-02-11 00:00:00-05:00,270.64
2019-02-12 00:00:00-05:00,274.075
2019-02-13 00:00:00-05:00,274.98
2019-02-14 00:00:00-05:00,274.535
2019-02-15 00:00:00-05:00,277.27
2019-02-19 00:00:00-05:00,277.78
2019-02-20 00:00:00-05:00,278.43
2019-02-21 00:00:00-05:00,277.46
2019-02-22 00:00:00-05:00,279.15
2019-02-25 00:00:00-05:00,279.57
2019-02-26 00:00:00-05:00,279.34
2019-02-27 00:00:00-05:00,279.23
2019-02-28 00:00:00-05:00,278.54
2019-03-01 00:00:00-05:00,280.49
2019-03-04 00:00:00-05:00,279.41
2019-03-05 00:00:00-05:00,279.05
2019-03-06 00:00:00-05:00,277.29
2019-03-07 00:00:00-05:00,275.08
2019-03-08 00:00:00-05:00,274.525
2019-03-11 00:00:00-04:00,278.5
2019-03-12 00:00:00-04:00,279.44
2019-03-13 00:00:00-04:00,281.34
2019-03-14 00:00:00-04:00,281.19
2019-03-15 00:00:00-04:00,281.35
2019-03-18 00:00:00-04:00,282.38
2019-03-19 00:00:00-04:00,282.48
2019-03-20 00:00:00-04:00,281.53
2019-03-21 00:00:00-04:00,284.67
2019-03-22 00:00:00-04:00,279.25
2019-03-25 00:00:00-04:00,279.03
2019-03-26 00:00:00-04:00,281.02
2019-03-27 00:00:00-04:00,279.72
