date,close,volume,open,high,low
7/7/2016,209.526,85521425,209.87,210.6495,208.63
7/8/2016,212.65,133970972,211.05,212.94,210.7785
7/11/2016,213.4,73633937,213.19,214.07,212.95
7/12/2016,214.95,101275629,214.53,215.3,213.4308125
7/13/2016,214.92,87324129,215.44,215.45,214.35
7/14/2016,216.12,91230870,216.4,216.67,215.66
7/15/2016,215.83,107155401,216.78,217.0125,215.308
7/18/2016,216.4091875,58725918,215.97,216.6,215.67
7/19/2016,216.19,54345728,215.92,216.23,215.63
7/20/2016,217.085,58159457,216.75,217.37,216.24
7/21/2016,216.265,67777310,216.96,217.22,215.75
7/22/2016,217.24,62787477,216.41,217.3,216.1
7/25/2016,216.65,55873147,217,217.06,215.97
7/26/2016,216.75,70080493,216.53,217.17,215.76
7/27/2016,216.52,84083893,217.19,217.27,215.62
7/28/2016,216.77,65035718,216.29,217.11,215.75
7/29/2016,217.12,79519436,216.46,217.54,216.13
8/1/2016,216.94,73311422,217.19,217.65,216.405
8/2/2016,215.5491875,92295506,216.65,216.83,214.57
8/3/2016,216.18,53993626,215.48,216.245,215.13
8/4/2016,216.4096875,46585528,216.31,216.78,214.25
8/5/2016,218.18,71892161,217.21,218.23,217.07
8/8/2016,218.05,39906479,218.4,218.52,217.74
8/9/2016,218.18,51251728,218.13,218.76,217.8
8/10/2016,217.64,57941092,218.31,218.4038125,217.23
8/11/2016,218.65,72504270,218.26,218.94,217.95
8/12/2016,218.46,61313544,218.29,218.71,217.99
8/15/2016,219.09,49813482,218.89,219.5,218.88
8/16/2016,217.96,53213621,218.6,218.68,217.96
8/17/2016,218.37,75134339,218,218.53,217.02
8/18/2016,218.86,52989266,218.34,218.9,218.21
8/19/2016,218.54,75443004,218.31,218.75,217.74
8/22/2016,218.53,61368766,218.26,218.8,217.83
8/23/2016,218.97,53399159,219.25,219.6,218.9
8/24/2016,217.85,71728949,218.8,218.91,217.36
8/25/2016,217.7,69224776,217.4,218.19,217.22
8/26/2016,217.29,122506348,217.92,219.12,216.25
8/29/2016,218.3608125,70502167,217.44,218.665,217.4
8/30/2016,218,58114543,218.26,218.59,217.35
8/31/2016,217.38,85269453,217.61,217.75,216.465
9/1/2016,217.39,97844207,217.37,217.73,216.03
9/2/2016,218.37,79293856,218.39,218.87,217.7
9/6/2016,219.0308125,56702089,218.7,219.12,217.86
9/7/2016,219.01,76554855,218.84,219.22,218.3
9/8/2016,218.51,74102880,218.62,218.94,218.15
9/9/2016,213.28,221589073,216.97,217.03,213.25
9/12/2016,216.34,168110913,212.39,216.81,212.31
9/13/2016,213.23,182828839,214.84,215.149875,212.5
9/14/2016,213.15,134185491,213.29,214.7,212.5
9/15/2016,215.28,145736123,212.96,215.73,212.75
9/16/2016,213.37,155236354,213.48,213.69,212.57
9/19/2016,213.41,80250490,214.13,214.88,213.03
9/20/2016,213.42,69665279,214.41,214.59,213.38
9/21/2016,215.82,110284425,214.24,216.03,213.44
9/22/2016,217.18,76678713,217,217.53,216.71
9/23/2016,215.99,73630921,216.72,216.88,215.88
9/26/2016,214.24,89827305,215.02,215.23,214.01
9/27/2016,215.57,78494829,214.05,215.68,213.62
9/28/2016,216.64,87411015,215.83,216.82,214.71
9/29/2016,214.68,128070615,216.4,216.87,214.04
9/30/2016,216.3,117202914,215.65,217.12,215.36
10/3/2016,215.78,83512057,215.82,216.04,215.04
10/4/2016,214.68,119948052,215.91,216.17,213.99
10/5/2016,215.63,72815963,215.41,216.13,215.33
10/6/2016,215.78,62927376,215.37,216.04,214.735
10/7/2016,215.04,89788255,216.1,216.3,214.19
10/10/2016,216.16,51855023,216.155,216.7,215.985
10/11/2016,213.43,130367373,215.66,215.74,212.58
10/12/2016,213.71,73866117,213.59,214.32,213.01
10/13/2016,213.01,101356960,212.16,213.59,211.21
10/14/2016,213.12,93346237,214.15,214.69,213.03
10/17/2016,212.38,58275674,213.09,213.39,212.17
10/18/2016,213.71,76869656,214.24,214.31,213.27
10/19/2016,214.28,66519224,214.02,214.64,213.6
10/20/2016,213.88,73639830,213.87,214.53,213.11
10/21/2016,213.98,89089092,212.96,214.08,212.76
10/24/2016,214.89,60146592,215,215.32,214.48
10/25/2016,214.17,66542329,214.68,214.98,213.98
10/26/2016,213.74,75705478,213.21,214.42,212.93
10/27/2016,213.17,77220213,214.58,214.62,213.08
10/28/2016,212.54,140623183,213.14,213.93,211.71
10/31/2016,212.55,61272507,212.93,213.19,212.36
11/1/2016,211.01,122781818,212.93,212.99,209.6
